Title,Description,Genre,Processed_Description
Ages of Conflict: World War Simulator,Ages of Conflict is a versatile Map Simulation game where you spawn and observe custom or random AI nations battle it out across an infinite number of worlds. Command nations to nudge the world events into your liking.,"['Casual', 'Indie', 'Simulation', 'Early Access']",age conflict versatile map simulation game spawn observe custom random ai nation battle across infinite number world command nation nudge world event liking
Hidden & Dangerous 2: Courage Under Fire,"Hidden & Dangerous 2 is a first and third person tactical shooter that builds upon the tremendous success of Hidden & Dangerous. You lead a small squad of Allied soldiers deep behind enemy lines, to carry out secret missions during World War II.","['Action', 'Strategy']",hidden dangerous 2 first third person tactical shooter build upon tremendous success hidden dangerous lead small squad allied soldier deep behind enemy line carry secret mission world war ii
Metel - Horror Escape,"Metel - Horror Escape is a first-person 3D game in the quest, horror genre. Welcome to the home of an insane maniac hungry for new blood and suffering! You are a victim in his hands. Be careful trying to find a way out. The maniac should not notice your escape attempt.","['Action', 'Adventure', 'Indie', 'Early Access']",metel horror escape first-person 3d game quest horror genre welcome home insane maniac hungry new blood suffering victim hand careful trying find way maniac notice escape attempt
Locke(d),An algorithm decided to show you this. What now?,"['Free to Play', 'Indie']",algorithm decided show
Your Dry Delight,"Set in 1920s Prohibition-era America, this romantic comedy follows Detective Richter and his adventures as he attempts to unravel Cleveland's liquor industry.","['Casual', 'Free to Play', 'Indie']",set 1920s prohibition-era america romantic comedy follows detective richter adventure attempt unravel cleveland 's liquor industry
Bai Qu: Hundreds of Melodies,A melody of life and death surrounding a sickly girl and her friends.,['Indie'],melody life death surrounding sickly girl friend
Evil Nun: The Broken Mask,Escape from Sister Madeline's religious summer camp in this Stealth Horror adventure. Complete missions and puzzles in a secret-filled school while playing against a smart Nun AI.,"['Action', 'Adventure', 'Indie', 'Early Access']",escape sister madeline 's religious summer camp stealth horror adventure complete mission puzzle secret-filled school playing smart nun ai
神社的百合香 ~ Floral Aroma in the Shrine,《Floral Aroma in the Shrine》is a short Vision Novel Touhou Project Fan Fiction game. The main story is about a love story of Reimu and Marisa. Player will be playing as Marisa and experience her side of the story happened in Hakurei Jinja.,"['Indie', 'RPG']",《floral aroma shrine》is short vision novel touhou project fan fiction game main story love story reimu marisa player playing marisa experience side story happened hakurei jinja
PAC-MAN WORLD Re-PAC,"PAC-MAN arrives home on his birthday to find the Ghosts have kidnapped PAC-MAN’s family and ruined his party! Off to the rescue, PAC-MAN sets out to Ghost Island!","['Action', 'Adventure', 'Casual']",pac-man arrives home birthday find ghost kidnapped pac-man ’ family ruined party rescue pac-man set ghost island
Medieval II: Total War™ Kingdoms,"Medieval II: Total War Kingdoms is the official expansion to last year's award-winning Medieval II: Total War, presenting players with all-new territories to explore, troops to command, and enemies to conquer.",['Strategy'],medieval ii total war kingdom official expansion last year 's award-winning medieval ii total war presenting player all-new territory explore troop command enemy conquer
Harmonia,"From renowned visual novel studio Key, which brought you the highly rated visual novel “planetarian~the reverie of a little planet~”, this is “Harmonia”, the latest kinetic novel in the series.","['Adventure', 'Casual', 'Simulation']",renowned visual novel studio key brought highly rated visual novel “ planetarian~the reverie little planet~ ” “ harmonia ” latest kinetic novel series
Dog Sled Saga,"As a rookie musher, foster a dogsledding team whose skills will grow if they're treated right. Week by week, get to know your dogs' unique traits, and carve your story into the trails of the Mount St. Something region.","['Indie', 'Racing', 'RPG', 'Sports']",rookie musher foster dogsledding team whose skill grow 're treated right week week get know dog unique trait carve story trail mount st. something region
The Void Rains Upon Her Heart,"Help her heart battle tough bosses in this Boss Rush, Bullet-hell with rogue-lite elements. Fight through several randomly chosen boss battles leading up to a final battle. Each defeated monster will give her random gifts that power up her heart. Don't let her heart break!","['Action', 'Indie', 'Early Access']",help heart battle tough boss bos rush bullet-hell rogue-lite element fight several randomly chosen bos battle leading final battle defeated monster give random gift power heart n't let heart break
Endless Monday: Dreams and Deadlines,"""Endless Monday: Dreams and Deadlines"" - In this short story from the Endless Monday, Penny, a mild-mannered corporate grunt, spends a weekend at the office in an effort to finish her project on time while overcoming distractions from coworkers, space aliens, imaginary friends, and herself.","['Adventure', 'Indie']",`` endless monday dream deadline '' short story endless monday penny mild-mannered corporate grunt spends weekend office effort finish project time overcoming distraction coworkers space alien imaginary friend
her tears were my light,a love story between time and space,['Simulation'],love story time space
Larcin Lazer,"In this puzzle game combining action and stealth, your memory will be your best tool! Remember the location of the lasers, they disappear as soon as you move. Avoid deadly lasers with style, steal from the richest and save your cat 🐱 Prepare for a MEMORABLE heist","['Action', 'Casual', 'Indie']",puzzle game combining action stealth memory best tool remember location laser disappear soon move avoid deadly laser style steal richest save cat 🐱 prepare memorable heist
Elasto Mania Remastered,"The original cult classic returns. A blast from the past, better than ever. Are you ready?","['Casual', 'Indie', 'Racing', 'Simulation', 'Sports']",original cult classic return blast past better ever ready
Path of Achra,"Path of Achra is a bleak, dark fantasy traditional roguelike, with a focus on streamlined controls and rapid hero customization. A ""broken build sandbox."" Fight through the deadly lands of Achra to reach the horrors of the Obelisk, and discover what lies beyond...","['RPG', 'Early Access']",path achra bleak dark fantasy traditional roguelike focus streamlined control rapid hero customization `` broken build sandbox '' fight deadly land achra reach horror obelisk discover lie beyond ...
Ever Seen A Cat? 3,A relaxing hidden object game. Find yet more cats in several new fairy tale themed environments! Every play through is different!,['Casual'],relaxing hidden object game find yet cat several new fairy tale themed environment every play different
Drova - Teaser,"Immerse yourself in our vision of the 2D action RPG Drova. Inspired by the philosophy of the Gothic series, you play a novice of the Order faction who receives his first mission. You are to meet your brother of the Order in the tavern ""To the Headless Ripper"". Sounds simple, doesn't it?","['Action', 'Adventure', 'Indie', 'RPG']",immerse vision 2d action rpg drova inspired philosophy gothic series play novice order faction receives first mission meet brother order tavern `` headless ripper '' sound simple n't
Yamafuda! 2nd station,"We created a game that can be played by anyone, using cards to hike mountains. You choose a card for each station. If you make gears along the way, you can hike more comfortably. Let's enjoy many mountains!","['Casual', 'Indie', 'Strategy']",created game played anyone using card hike mountain choose card station make gear along way hike comfortably let 's enjoy many mountain
Lucy Dreaming,"Discover a dark family secret and rid a young girl of her nightmares in this splendidly British point & click comedy adventure. Playing as sharp-witted Lucy, explore both dreams and reality to meet all the colourful characters who'll help you solve puzzles, gather clues and find a murderer.",['Adventure'],discover dark family secret rid young girl nightmare splendidly british point click comedy adventure playing sharp-witted lucy explore dream reality meet colourful character 'll help solve puzzle gather clue find murderer
Poosh XL,"Poosh XL is a neon-infused, one-button arcade score chaser. That's it! That pretty much says it all. If you like that first sentence you'll probably enjoy this game. Otherwise, refund it, I don't care, I just work here. (The spiritual successor to Ding Dong XL)","['Action', 'Casual', 'Indie']",poosh xl neon-infused one-button arcade score chaser 's pretty much say like first sentence 'll probably enjoy game otherwise refund n't care work spiritual successor ding dong xl
24 Killers,"Out in the Indian Ocean somewhere is a tiny desert island where a multiverse spanning drama is unfolding. You play as Home, a cursed super intelligence bound to a soldier's corpse by an alien named Moon.","['Adventure', 'Casual', 'Indie']",indian ocean somewhere tiny desert island multiverse spanning drama unfolding play home cursed super intelligence bound soldier 's corpse alien named moon
PRODUCER 2021,"a ~2 hour long graphic adventure novella. Tasked with disrupting the end of the world, you explore, investigate and produce your way through a strangely familiar world.","['Adventure', 'RPG', 'Simulation']",~2 hour long graphic adventure novella tasked disrupting end world explore investigate produce way strangely familiar world
The Monster Breeder,"Turn-based fantasy gladiatorial game with monster breeding. Crossbreed various species to create monster hybrids for gladiatorial combat. Manipulate creatures’ traits with surgery, magic, and alchemy. Manage your enterprise, craft items and upgrade your base. Fight in the arena for gold and glory!","['Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']",turn-based fantasy gladiatorial game monster breeding crossbreed various specie create monster hybrid gladiatorial combat manipulate creature ’ trait surgery magic alchemy manage enterprise craft item upgrade base fight arena gold glory
TOMOMI,Full of hilarious dialogue and comical encounters! A super exhilarating Metroidvania action game!!,['Action'],full hilarious dialogue comical encounter super exhilarating metroidvania action game
Cyberfrags '69,"Move fast and shoot fast in Cyberfrags '69. Double jump, wall-run, and blast your way to victory in intense PvP and Co-Op, or play as Cyber-Frank as he slaughters the Cyber-Nazis invading his home!","['Action', 'Early Access']",move fast shoot fast cyberfrags '69 double jump wall-run blast way victory intense pvp co-op play cyber-frank slaughter cyber-nazis invading home
DEEP FOG,"Deep Fog is a single-player, 2D horizontal pixel horror/adventure game. Explore the strange events that occurred in Fog City. The game's 5 chapters will be released in phases.","['Adventure', 'Indie', 'Early Access']",deep fog single-player 2d horizontal pixel horror/adventure game explore strange event occurred fog city game 's 5 chapter released phase
OxU,"Minimalistic 3d puzzle with portals, cubes and lasers.","['Casual', 'Indie']",minimalistic 3d puzzle portal cube laser
Shirone: the Dragon Girl,"”Shirone: the Dragon Girl"" is a 3D adventure game where you help Shirone solve puzzles and riddles to find a way out of a haunted castle. Escaping the castle is the main objective, and to do that you'll need to make full use of her wings and tail!",['Action'],” shirone dragon girl '' 3d adventure game help shirone solve puzzle riddle find way haunted castle escaping castle main objective 'll need make full use wing tail
Quest for the Golden Candelabra,"Lead a group of childhood friends in a series of difficult encounters played under the rules of PF2E, the second edition of a powerful tabletop OGL ruleset.","['RPG', 'Strategy']",lead group childhood friend series difficult encounter played rule pf2e second edition powerful tabletop ogl ruleset
Hop Step Sing! Astral Piece,Niina's first solo live!! For it's fifth song the new Hop Step Sing! VR Music video goes into interactive VR territory. Follow Niina around as she sings and dance with her classmates after school hours.,['Casual'],niina 's first solo live 's fifth song new hop step sing vr music video go interactive vr territory follow niina around sings dance classmate school hour
Berry,"Berry is a short orthogonal 3D platformer about a tiny, blue spider. Gain new abilities, weave through projectiles, collect and purchase a variety of items, and combat various bosses in this tiny metroidvania adventure.","['Action', 'Adventure', 'Indie']",berry short orthogonal 3d platformer tiny blue spider gain new ability weave projectile collect purchase variety item combat various boss tiny metroidvania adventure
Supipara - Chapter 2 Spring Has Come!,"After seven years, Yukinari Sanada has returned to his hometown in Kanagawa Prefecture, Kamakura City, but something feels... different. Both he and his younger sister, Rikka, transfer into Oumi Academy and hope for a fresh start.",['Adventure'],seven year yukinari sanada returned hometown kanagawa prefecture kamakura city something feel ... different younger sister rikka transfer oumi academy hope fresh start
The Jewel of Monostructure,"Sanator: The Jewel of Monostructure is a dark fantasy visual novel that combines deep lore with exciting adventures. Who is behind the mysterious thefts and why are the gates of the Monostructure open again? Take control of Richard Murdock, the plague doctor, and find the answer.","['Adventure', 'Indie']",sanator jewel monostructure dark fantasy visual novel combine deep lore exciting adventure behind mysterious theft gate monostructure open take control richard murdock plague doctor find answer
The Lost Art of Innkeeping,"Can you transform a dilapidated old manor into a 5-star inn while solving the mysteries lurking behind its doors? Meet amusing guests, discover new areas and upgrades, complete mini-quests, and find items and beautiful paintings that will help you achieve your goals!","['Adventure', 'Indie', 'Simulation']",transform dilapidated old manor 5-star inn solving mystery lurking behind door meet amusing guest discover new area upgrade complete mini-quests find item beautiful painting help achieve goal
LumbearJack,Grab your axe and save the environment by chopping and recycling every man-made thing in your path and solving puzzles with your charming animal friends!,"['Casual', 'Indie']",grab axe save environment chopping recycling every man-made thing path solving puzzle charming animal friend
Repella Fella: Prologue,"Play as an Australian war vet, struggling with his day-to-day, before his entire life is turned upside down! Repella Fella is an interactive, branching, cinematic adventure. See how it all began in this prologue, designed to lead directly into the main game.","['Adventure', 'Casual', 'Indie']",play australian war vet struggling day-to-day entire life turned upside repella fella interactive branching cinematic adventure see began prologue designed lead directly main game
Zen Trails,A zen-inducing spirograph-making experience to calm the soul while stimulating the mind.,"['Casual', 'Simulation']",zen-inducing spirograph-making experience calm soul stimulating mind
Lily's Night Off,"Lily's Night Off is a visual novel, but not in the typical sense; as you progress in this game, your actions drastically change character personalities, story lines, and lead to unexpected outcomes.","['Adventure', 'Simulation']",lily 's night visual novel typical sense progress game action drastically change character personality story line lead unexpected outcome
Misericorde: Volume One,Misericorde: Volume One is the first part of a series of mystery visual novels set in a convent in 1482.,"['Adventure', 'Casual', 'Indie']",misericorde volume one first part series mystery visual novel set convent 1482
卖萌恶霸喵霸霸 Cute Bully Nyanbaba,"The super cute villain Nyanbaba is back! This time, meow bully invaded 10 new scenes, found all the strange hidden points and cracked the magic of cat ear Nyanbaba! Contains jump out shock (cute)! And super cute Chinese dubbing! More scenes, more voice, more joy!","['Casual', 'Indie']",super cute villain nyanbaba back time meow bully invaded 10 new scene found strange hidden point cracked magic cat ear nyanbaba contains jump shock cute super cute chinese dubbing scene voice joy
Radical Rabbit Stew,"Radical Rabbit Stew is a hare-raising action-arcade game, featuring fast-paced whack-a-rabbit gameplay, scintillating puzzles, super-sized boss fights, juicy pixel graphics and a sizzling soundtrack, perfect for new players and 16-bit retro fans alike!","['Action', 'Adventure', 'Indie']",radical rabbit stew hare-raising action-arcade game featuring fast-paced whack-a-rabbit gameplay scintillating puzzle super-sized bos fight juicy pixel graphic sizzling soundtrack perfect new player 16-bit retro fan alike
Glyph☀️,"Glyph is a cute, physics-based adventure starring a mech-scarab and his trusted guide, Anobi, challenged with rebuilding an ancient civilization buried under the desert sand. Jump, double-jump, smash and glide through the air in this vertical platformer with amazing controls.","['Action', 'Adventure', 'Indie']",glyph cute physics-based adventure starring mech-scarab trusted guide anobi challenged rebuilding ancient civilization buried desert sand jump double-jump smash glide air vertical platformer amazing control
Lucky and a life worth living - a jigsaw puzzle tale,"A dog’s life nowadays. Discover happy moments from the daily life of the dog Lucky with his parents. A new minimalist jigsaw puzzle game, with 6 scenes illustrated by @Katia Numakura with her cute art style.",['Casual'],dog ’ life nowadays discover happy moment daily life dog lucky parent new minimalist jigsaw puzzle game 6 scene illustrated katia numakura cute art style
Altered,"Solve difficult puzzles in a soothing atmosphere by altering your characters in multiple ways, forcing you to think outside the box.","['Indie', 'Strategy']",solve difficult puzzle soothing atmosphere altering character multiple way forcing think outside box
Emberfate: Tempest of Elements,"An immersive MMORPG-simulation chatroom based romance / otome visual novel. You are the leader of a raiding guild in the world's hottest MMORPG, Emberfate. Will you lead your guild to success in the newest raid — and perhaps find love along the way among your guildmates?",['Indie'],immersive mmorpg-simulation chatroom based romance otome visual novel leader raiding guild world 's hottest mmorpg emberfate lead guild success newest raid — perhaps find love along way among guildmates
Baldwin's Bear,"It's the magic of a carnival through the eyes of a child! From a fishing pool to a bouncy castle to a ghost train, each minigame is unique from the last, and holds its own little tricks and secrets. Collect tickets as Baldwin to afford the teddy bear, or race a friend for it in versus mode!","['Adventure', 'Free to Play', 'Indie', 'RPG']",'s magic carnival eye child fishing pool bouncy castle ghost train minigame unique last hold little trick secret collect ticket baldwin afford teddy bear race friend versus mode
Weird and Unfortunate Things Are Happening,Join Alicia as she tries to save her niece from a city warped and twisted by otherworldly beings in this eccentric RPG.,"['Free to Play', 'Indie', 'RPG']",join alicia try save niece city warped twisted otherworldly being eccentric rpg
Dice Tribes: Ambitions,A dice-based worker placement game. Manage the randomness and complete your ambition to win.,"['Indie', 'Strategy']",dice-based worker placement game manage randomness complete ambition win
King Boo,"Play as King Boo, who unfortunately has lost their royal adornments and must find them back before being allowed back in the castle! A simple, colorful adventure game for young players.","['Adventure', 'Casual']",play king boo unfortunately lost royal adornment must find back allowed back castle simple colorful adventure game young player
Voltage High Society,"As a nameless prisoner, battle cybernetic monsters in a decaying city. Uncover powerful upgrades & weapons to unlock areas. Immerse in a gritty, retro first-person Metroidvania with cyberpunk & body horror.","['Action', 'Early Access']",nameless prisoner battle cybernetic monster decaying city uncover powerful upgrade weapon unlock area immerse gritty retro first-person metroidvania cyberpunk body horror
Once Upon a Jester,"Travel the kingdom as Jester with his best friend Sok to improvise theatre shows and perform on stages far and wide. Sing your hearts out, crack jokes and impress audiences to become the stars of the famous Royal Theatrical Spectacle!","['Adventure', 'Casual', 'Indie']",travel kingdom jester best friend sok improvise theatre show perform stage far wide sing heart crack joke impress audience become star famous royal theatrical spectacle
Alekon,"Photograph dozens of whimsical creatures, solving puzzles to get them to strike collectable poses! Then befriend them through unique quests and minigames, from snowflake design, to tuning and playing crystal harps, to organizing parties!","['Adventure', 'Indie']",photograph dozen whimsical creature solving puzzle get strike collectable pose befriend unique quest minigames snowflake design tuning playing crystal harp organizing party
Mini Pipes - A Logic Puzzle Pipes Game,A Logic Puzzle Pipes Game with a beautiful minimalist design and a uniquely prepared soundscape. Rotate the pipes until all the pipes are filled with water.,"['Casual', 'Indie', 'Strategy']",logic puzzle pipe game beautiful minimalist design uniquely prepared soundscape rotate pipe pipe filled water
Sophstar,"A vertical arcade shoot'em up with an inventive teleport system, lots of fast-blazing action and explosions, tons of boss fights, a risk/reward based score system and a proper challenge for both veteran and new players of the genre.","['Action', 'Indie']",vertical arcade shoot'em inventive teleport system lot fast-blazing action explosion ton bos fight risk/reward based score system proper challenge veteran new player genre
7 Years From Now,"A slice of life story-driven adventure game with a distinctive 3D pixel art. Embark on a journey and accompany Haruto Soraki, a high schooler, in his quest to find the memory he lost in an accident seven years ago.","['Adventure', 'Indie', 'RPG']",slice life story-driven adventure game distinctive 3d pixel art embark journey accompany haruto soraki high schooler quest find memory lost accident seven year ago
The Rose of Segunda,"In the kingdom of Segunda, the Crown Prince’s birthday celebrations are traditionally where he is expected to choose a bride. Will you act like the perfect lady and convince the King to select you as the Prince's betrothed, or show your true colours and perhaps catch another's eye?","['Indie', 'Simulation']",kingdom segunda crown prince ’ birthday celebration traditionally expected choose bride act like perfect lady convince king select prince 's betrothed show true colour perhaps catch another 's eye
Zero-G Gunfight,Battle 1-3 friends in the fast-paced & frantic arenas of Zero-G Gunfight. Pickup different guns that change how you move & fight. Dodge enemy bullets & avoid unique hazards as you strive to be the last one standing!,['Indie'],battle 1-3 friend fast-paced frantic arena zero-g gunfight pickup different gun change move fight dodge enemy bullet avoid unique hazard strive last one standing
Nekomancy,Nekomancy is a Magic roguelite looter shooter! Craft spells and vanquish evil creatures! Grab their loot and craft better spells! Make progress in the skill tree! Only the best synergies pass the test!,"['Action', 'Strategy']",nekomancy magic roguelite looter shooter craft spell vanquish evil creature grab loot craft better spell make progress skill tree best synergy pas test
Fateweaver: The Alchemist's Quandary,"You are The Fateweaver; an ancient beast of legendary status. It is your job to determine which way Fate will unravel as you dig deep into the psyche of those who beckon. Decide whether to help those who beg for your mercy, or invoke the wrath of the Gods upon those you deem unworthy of existence...","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",fateweaver ancient beast legendary status job determine way fate unravel dig deep psyche beckon decide whether help beg mercy invoke wrath god upon deem unworthy existence ...
Super Cakeboy,"When a group of unsanitary chefs threaten all that is good and just in Cakeland, it's up to Cakeboy to serve up punishment. Fight your foes with pastry-themed items in this bite-sized 2D platforming adventure!","['Action', 'Free to Play', 'Indie']",group unsanitary chef threaten good cakeland 's cakeboy serve punishment fight foe pastry-themed item bite-sized 2d platforming adventure
Shisensho Solitaire,"Shisensho Solitaire is a classic tile-matching game. You can only match pairs of tiles if they can be connected by a single line with no more than two bends. If you clear every tile, you win!","['Casual', 'Indie']",shisensho solitaire classic tile-matching game match pair tile connected single line two bend clear every tile win
Sea Bubble,"Fight for the bubble¡ Avoid the crabs¡ And outwit your opponent to become the best seahorse in the seabed¡ In Sea Bubble, two seahorses will clash. Who will arise? It's up to you","['Casual', 'Indie', 'Sports']",fight bubble¡ avoid crabs¡ outwit opponent become best seahorse seabed¡ sea bubble two seahorse clash arise 's
Cosmo's Quickstop,"Cosmo’s Quickstop simulates the fast-paced thrill of managing a gas station… IN SPACE! Upgrade your services, please alien customers, and complete your daily chores through simple minigames that add up to a hilariously frantic experience with solo or couch co-op play.","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",cosmo ’ quickstop simulates fast-paced thrill managing gas station… space upgrade service please alien customer complete daily chore simple minigames add hilariously frantic experience solo couch co-op play
Bunny's Flowers,A cute puzzle game about taking a trip to your grandma.,['Indie'],cute puzzle game taking trip grandma
Escape FishStop 3D,"A horror game like no other with a crazy plot. So many characters that make you laugh. With great sound effects and eerie atmosphere of FishStop, labyrinth, atmospheric music, jokes and more!","['Adventure', 'Indie', 'Early Access']",horror game like crazy plot many character make laugh great sound effect eerie atmosphere fishstop labyrinth atmospheric music joke
Below The Ocean,"Dive into the world 'Below the Ocean'! Master thrilling moves like tether-swinging, bubble-jumping, bungee-bouncing, and sling-shot in a mesmerizing underwater adventure. Solve intriguing puzzles and seek hidden treasures. Are you ready to embark on this unforgettable journey?","['Action', 'Adventure', 'Casual', 'Indie']",dive world 'below ocean master thrilling move like tether-swinging bubble-jumping bungee-bouncing sling-shot mesmerizing underwater adventure solve intriguing puzzle seek hidden treasure ready embark unforgettable journey
ECHOLOCAUTION,"In the dark and dangerous world of the night, all you can rely on is your voice and your ears! Let's go on an exciting night hunt with the little bats!","['Action', 'Casual', 'Indie']",dark dangerous world night rely voice ear let 's go exciting night hunt little bat
Super Grappling Gecko,"Swing over spikes and pits, find the secrets of a mysterious tree and overcome difficult challenges as a brave tiny lizard in this small adventure.","['Adventure', 'Casual', 'Indie']",swing spike pit find secret mysterious tree overcome difficult challenge brave tiny lizard small adventure
Space Pilgrim Academy: Reunion,"Margaret Dale crosses the galaxy in search of her lost mother, determined to solve once and for all the mysteries surrounding the destruction of Latona station.","['Adventure', 'Indie']",margaret dale cross galaxy search lost mother determined solve mystery surrounding destruction latona station
A Wholesome Game About Farming,"This game is about farming! Just good ol' planting crops in the daytime, and harvesting them in the daytime with no sinister nighttime gameplay or anything nefarious like that at all.","['Indie', 'RPG', 'Simulation', 'Strategy']",game farming good ol planting crop daytime harvesting daytime sinister nighttime gameplay anything nefarious like
Sable's Grimoire: A Dragon's Treasure,Sleeping with a possessive half-dragon becomes the least of Sable's worries as he tries to stay one step ahead of his domineering mother-in-law.,"['Casual', 'Indie', 'Simulation']",sleeping possessive half-dragon becomes least sable 's worry try stay one step ahead domineering mother-in-law
PROJECTIONS,"A fight is like a conversation: Sometimes you listen, and sometimes you speak. And if you are prepared, when it is your turn to speak, you will know what to say.",['Action'],fight like conversation sometimes listen sometimes speak prepared turn speak know say
Yogurt Commercial 3,Travel the world amassing power in order to create the ultimate yogurt commercial of all time in this sandbox puzzle adventure game.,"['Adventure', 'Indie', 'Simulation']",travel world amassing power order create ultimate yogurt commercial time sandbox puzzle adventure game
Rabisco,"Help Ms. Rabisco to find the moon’s lost stars and bring back the light, in this cute but dangerous world, inspired by the World’s Hardest Game.","['Action', 'Adventure', 'Casual', 'Indie']",help ms. rabisco find moon ’ lost star bring back light cute dangerous world inspired world ’ hardest game
Aery - A New Frontier,Aery – A new Frontier is a story-driven 3D flight exploration game in which you control a bird-like creature while flying through a immersive but peaceful Sci-Fi world. Follow an interesting story through space and time and enjoy the relaxing gameplay while an exploring unknown colorful world.,"['Casual', 'Indie', 'Simulation']",aery – new frontier story-driven 3d flight exploration game control bird-like creature flying immersive peaceful sci-fi world follow interesting story space time enjoy relaxing gameplay exploring unknown colorful world
Bad Dream: Stories,"Bad Dream: Stories is a collection of older games in the Bad Dream series in a new, remastered form. Play the series of short point & click titles and travel through the disturbing and atmospheric world of dreams.","['Adventure', 'Indie']",bad dream story collection older game bad dream series new remastered form play series short point click title travel disturbing atmospheric world dream
Memories with my Kitten,Remember the trips with your cute kitten in this beautiful photo album in puzzle format.,['Casual'],remember trip cute kitten beautiful photo album puzzle format
Pitfall Planet,"Pitfall Planet is a couch co-op puzzle-solving adventure game set on a distant planet, where you'll need to use teamwork to complete levels and explore the caverns below! Pitfall Planet will put your friendship to the test; will both of you make it out alive?","['Adventure', 'Casual', 'Indie']",pitfall planet couch co-op puzzle-solving adventure game set distant planet 'll need use teamwork complete level explore cavern pitfall planet put friendship test make alive
Anopek,"Anopek is a genre mashup of metroidvania and retro first-person shooter. You explore a massive temple, solving ancient puzzles and defeating cunning bosses, all while uncovering the relics of the past.",['Adventure'],anopek genre mashup metroidvania retro first-person shooter explore massive temple solving ancient puzzle defeating cunning boss uncovering relic past
Save the Reactor,What if you happened to be in a control room of a nuclear reactor and something went wrong? Save the Reactor gives you the opportunity to fully experience these emotions! This simulator is great for those who like to challenge themselves and aren't afraid of difficulties!,"['Indie', 'Simulation']",happened control room nuclear reactor something went wrong save reactor give opportunity fully experience emotion simulator great like challenge n't afraid difficulty
混世萌王喵霸霸 Cute Chaos Demon Nyanbaba,"The super cute villain Nyanbaba is back again! This time, meow bully invaded 10 new scenes, found all the strange hidden points and cracked the magic of cat ear Nyanbaba! Contains jump out shock (cute)! And super cute Chinese dubbing! More scenes, more voice, more joy!","['Casual', 'Indie']",super cute villain nyanbaba back time meow bully invaded 10 new scene found strange hidden point cracked magic cat ear nyanbaba contains jump shock cute super cute chinese dubbing scene voice joy
Devil Inside Us: Roots of Evil,"In this story focused horror game, you are a priest! And you need to help a family with their cursed house, explore, follow your visions, find the root, and exorcize it!","['Action', 'Adventure', 'Indie']",story focused horror game priest need help family cursed house explore follow vision find root exorcize
Slide Stories: Neko's Journey,"Follow Nina and her cat, Neko, on a journey through beautiful places in this relaxing and minimalist slide puzzle game.",['Casual'],follow nina cat neko journey beautiful place relaxing minimalist slide puzzle game
Aery - Calm Mind 3,"Calm down from the hassle of your daily life, experience the feeling of flying, and immerse yourself into beautiful and atmospheric landscapes.","['Casual', 'Indie', 'Simulation']",calm hassle daily life experience feeling flying immerse beautiful atmospheric landscape
你画我拼You draw I puzzle,"""You draw I puzzle"" is an interesting drawing Mosaic casual play, you can drag the graphics fragment to spell out the complete picture, can also draw the work that you like, cut into interesting fragments, let other players challenge your imaginative design. Have a good time!","['Casual', 'Free to Play', 'Indie']",`` draw puzzle '' interesting drawing mosaic casual play drag graphic fragment spell complete picture also draw work like cut interesting fragment let player challenge imaginative design good time
Ever Seen A Cat?,A relaxing hidden object game. Find cats in several stylish environments! Every play through is different!,['Casual'],relaxing hidden object game find cat several stylish environment every play different
Zodiacats,"Follow cat Catherine on her journey for the lost astrology papyri and learn more about her job as a witch assistant for bringing good vibes into this Earth! Let Catherine guide you through the zodiac wheel, showing you about features of each solar sign. You can also learn about your cat's sign!",['Casual'],follow cat catherine journey lost astrology papyrus learn job witch assistant bringing good vibe earth let catherine guide zodiac wheel showing feature solar sign also learn cat 's sign
Loop-Loop DX,"Far into the future, a galactic super prison known as ""The Prisom"" keeps the Galaxy's most dangerous criminals within it's colorfully crystalline walls. Escape this superstructure by blasting down prison staff, other criminals, and even... yourself.","['Action', 'Adventure', 'Free to Play', 'Indie']",far future galactic super prison known `` prisom '' keep galaxy 's dangerous criminal within 's colorfully crystalline wall escape superstructure blasting prison staff criminal even ...
Tales From Off-Peak City Vol. 1,"On the corner of July Avenue and Yam Street, all is not what it seems. What role will you play in a city's fate?","['Adventure', 'Indie']",corner july avenue yam street seems role play city 's fate
Penko Park,Snap pictures of 𝓈𝓅𝑜𝑜𝓀𝓎-𝒸𝓊𝓉𝑒 creatures & explore an abandoned wildlife park.,"['Adventure', 'Indie', 'Simulation']",snap picture 𝓈𝓅𝑜𝑜𝓀𝓎-𝒸𝓊𝓉𝑒 creature explore abandoned wildlife park
Yoiyami Dancers: Twilight Danmaku Dancers,Dodge bullets to the rhythm and take down everything that moves! A rhythmical danmaku action game.,['Action'],dodge bullet rhythm take everything move rhythmical danmaku action game
Deadeye Deepfake Simulacrum,"Embody the ultimate cybernetic corporate agent. Master deadly gunplay, time manipulation, and supernatural abilities. Hack computers, people, even the individual bullets flying at you. Confront the future, and die trying.","['Action', 'Indie', 'RPG', 'Simulation', 'Early Access']",embody ultimate cybernetic corporate agent master deadly gunplay time manipulation supernatural ability hack computer people even individual bullet flying confront future die trying
Seal World,"Meet happy seals, eat fibsh, swim, and relax!","['Casual', 'Early Access']",meet happy seal eat fibsh swim relax
Countryball: Europe 1890,Discover the 19th and 20th centuries with countryballs!,"['Action', 'Indie', 'Strategy']",discover 19th 20th century countryballs
